site_code,latitude,longitude,status
67TO4,33.179335,66.598542,
S0E3B,33.018893,76.752118,
J2VE3,23.510277,70.865239,
2Z9EM,27.931478,61.856264,
JT8XD,25.378432,75.781981,
TACXR,29.084234,63.338753,
SVVMO,31.951533,71.430794,
66F1F,26.782684,60.882543,
39PF1,30.985552,68.107955,
55DZW,27.095385,67.00494,
TE6D1,29.552394,63.352122,
R33WM,29.782486,68.994296,
VS63B,29.063179,62.084248,
SZPU1,35.952672,72.052942,
3QQ5F,33.306068,72.568865,
4O5GM,36.626511,76.483176,
N8ZWC,24.309183,70.747537,
9ESZ0,24.969763,67.507525,
ZD12G,23.840986,74.557725,
F31TQ,34.931079,72.049102,
NH49J,25.644407,69.401145,
1HY4R,33.541526,65.819737,
5N19P,26.921306,73.570134,
HLW7C,27.723774,75.311957,
HVQYL,31.862439,76.22941,
BWSBA,25.94314,62.400668,
IXSAG,36.804966,68.069212,
ODGDA,35.691519,75.737746,
ITKVX,34.392242,66.02869,
CLAT3,28.128258,77.447824,
LEH87,23.973425,75.327166,
HCSZI,32.826036,66.689213,
DY7AH,32.859873,63.820571,
PDBEI,33.126791,67.732323,
G6WVU,33.463134,66.760412,
8D7FB,24.637133,69.721922,
3BYU0,35.173693,70.845244,
SNQTK,26.477627,75.461154,
BM0EN,28.926094,66.707702,
6L4JG,24.214497,73.75404,
UI9NS,26.309189,74.537924,
NUU6N,25.40956,75.056615,
0MUFI,28.208643,71.419612,
OWE41,27.749361,61.553272,
EHS56,27.008831,61.211766,
05HWR,26.925739,64.361244,
ZEZC9,36.395253,66.997671,
10YY2,26.970868,76.020196,
BTO3M,35.633877,75.003364,
PXDJW,36.402395,77.36069,
GV48A,28.236935,63.201864,
G1KCA,26.792909,64.940122,
CO1K3,29.686463,64.200021,
VQNVS,28.540206,65.987843,
DIIMM,26.549893,75.471225,
C0979,34.145809,77.266103,
PHR2F,34.400524,67.738694,
4PH63,36.333935,76.157574,
RE5PS,34.295204,60.59693,
HLEO7,24.852498,62.432605,
W10RY,25.344985,71.189608,
28EAN,35.304995,65.902654,
0MKAP,24.905968,63.008633,
NBYG3,36.700645,63.927448,
SKIYM,34.831805,66.842811,
PV6XL,23.556806,64.279091,
99QRY,25.917522,61.838607,
0ND55,24.524492,63.09164,
Y1L9N,30.388399,75.167735,
X936N,29.455932,71.433218,
75421,29.44114,62.271351,
KBYR7,24.704924,72.921234,
TU532,32.953672,68.355777,
SOFZZ,26.360693,65.819196,
IHGA9,31.268007,61.638372,
RWIYR,26.771061,73.334675,
5P139,35.903884,77.28756,
WTUTJ,32.091941,66.161409,
K0II5,27.96574,74.281209,
BXZA2,31.468041,67.251101,
M8H0W,31.368967,71.694018,
I8N9K,32.711105,69.77347,
NBC27,25.993056,72.999132,
EVKUZ,28.596594,76.769384,
8VFHT,33.189929,70.775795,
6SVW8,35.648782,69.609749,
BC45P,32.737266,70.94174,
SN7RC,25.608902,74.684545,
SUC67,32.494013,76.886572,
08WSE,36.406236,65.976037,
P6NKE,28.217844,61.965493,
88851,36.47614,70.295798,
2RRY2,23.613167,65.992799,
I3GT1,23.864706,61.752665,
J7U5G,32.265666,66.523366,
CA2SX,30.006562,67.980441,
QVGSI,32.300325,69.06566,
HQU4W,25.440786,67.948384,
31W7M,34.789915,71.41192,
5XINP,30.762322,65.331088,
EZY4Y,24.689169,61.894157,
MJE2Y,36.063899,62.312981,
AV1RA,36.087759,75.88172,
EB52X,31.682149,68.667379,
V21G1,32.552342,68.175609,
Q0FNJ,35.897866,72.776473,
TSP6O,23.518588,63.045119,
9PNJY,36.556021,77.21715,
SXJK1,33.49942,76.965524,
REPXU,26.491907,61.784395,
PE5UT,35.860855,71.226702,
GFEOZ,35.699882,68.096384,
R0G2C,34.462329,67.560225,
CYF5K,28.148925,70.521034,
Q83OZ,28.558696,67.449183,
42XA3,34.722596,73.687474,
VHM4V,26.192734,76.24283,
OAV68,26.534528,61.902036,
N2XW9,32.231261,76.492791,
CHFC7,24.125413,69.134326,
MV1OG,30.415729,65.270472,
RUP3V,25.112848,68.716433,
5T3N7,33.528913,71.429586,
VGR3F,36.114986,69.535759,
4GQZ6,30.452238,73.42503,
GPNXN,32.424265,63.921603,
2L498,28.879137,66.810571,
0LU45,24.699606,62.944274,
0J5WN,24.894902,65.323177,
JWUJC,24.781763,61.879409,
CPTMJ,35.152374,72.047504,
QVB9A,27.016811,74.808151,
Z6KY0,33.732942,70.226169,
JU7DO,30.474762,75.153338,
FZZZL,28.970894,66.258989,
O208G,25.029857,76.936478,
JHTPM,24.992401,74.477848,
86MN0,34.043297,76.549712,
02UY7,25.249015,60.687018,
PWCAD,26.132008,66.891451,
4W3TZ,36.097931,67.236371,
N1Q1R,27.518006,65.357977,
55E4P,26.135759,72.737224,
BN4JH,24.104863,67.685378,
C1X2Q,29.376103,73.898356,
23S2O,32.178244,74.297372,
VIZBN,36.014975,70.238985,
TIARR,28.205923,63.182069,
QEL39,26.113387,77.199701,
4TCHT,36.044477,62.803966,
1R6LP,31.212317,72.780452,
2S1YI,30.067471,65.226467,
HA262,25.679692,69.804011,
FFBYG,24.2411,67.910123,
38KE4,35.29498,62.489116,
M8T2J,23.504708,71.98746,
W95YO,31.85348,66.69481,
Z7702,36.642102,65.549374,
XJ8TY,31.848185,67.330075,
5BUYR,23.620976,72.945556,
NAHU6,24.30786,68.572606,
DIOGV,32.910611,70.135715,
