site_code,status
9RBV5,True
NJCVY,True
XSKUT,True
A2USS,True
87YPZ,True
8V1SM,True
X68PB,True
I4QPM,True
YETFM,True
J3H9J,True
O8ZMC,True
BRRH9,True
AYJB6,True
AO18V,True
H8ZL5,True
W7D6M,True
JFVY3,True
WBMWW,True
6Y4O7,True
SQATC,True
U3SJ5,True
GF5F5,True
A9XTR,True
I7IA0,True
K4TVZ,True
EA2D1,True
PWE9Z,True
RUB4L,True
FN5IU,True
MJ1TO,True
O3QGX,True
QQZDG,True
TMPWV,True
H6YOA,True
LHZYM,True
CFWY3,True
G4JAW,True
EV05S,True
NJCNW,True
09QHW,True
023KC,True
M9FRY,True
H7DTI,True
75998,True
0JQWA,True
TJAHV,True
92TX9,True
30VT9,True
XTW77,True
CRXQS,True
RGJ00,True
ULYK0,True
45YPI,True
TX0OJ,True
EKOX3,True
FC5D2,True
V58QA,True
2I8TO,True
JZHYW,True
LGE94,True
D91M4,True
8Z5M8,True
MY4V6,True
MEPYJ,True
BRDJI,True
CX3SZ,True
T8DKD,True
A3SU6,True
F0RVE,True
S8X0L,True
9UPA1,True
LMVZ7,True
O0XTF,True
YO2KM,True
X35U0,True
8TJJK,True
4ZUS7,True
U3MRM,True
360EF,True
Q5JRP,True
TJCJJ,True
LHWSY,True
FPYHL,True
0OWVC,True
3INSD,True
YZFG5,True
VZM33,True
1C7G9,True
1M2AS,True
YKJC0,True
IJKVN,True
91E1E,True
MFLKC,True
JE9RF,True
13FXB,True
3N377,True
6WDG3,True
0OX8M,True
SQD1M,True
J9OS6,True
